,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
478,alofi,58,NU,1602430333,100,-19.06,-169.92,22.0,6.2
410,belyy yar,40,RU,1602430314,100,53.6,91.39,2.0,1.0
211,zamosc,90,PL,1602430271,100,50.72,23.25,10.0,3.1
23,kortkeros,75,RU,1602429851,100,61.81,51.58,10.0,1.0
59,port hardy,90,CA,1602430237,100,50.7,-127.42,8.0,4.6
327,podsineye,40,RU,1602430296,100,53.67,91.54,2.0,1.0
79,marienburg,51,PL,1602430241,100,54.04,19.03,11.67,1.77
271,roanoke rapids,75,US,1602429996,100,36.46,-77.65,20.0,1.5
333,honiara,20,SB,1602430119,100,-9.43,159.95,23.0,2.99
336,berlevag,75,NO,1602429886,100,70.86,29.09,5.0,5.7
154,hasaki,75,JP,1602430258,100,35.73,140.83,19.0,5.1
382,ketchikan,90,US,1602430307,100,55.34,-131.65,7.0,2.6
356,byron bay,75,AU,1602430302,100,-28.65,153.62,16.11,1.0
262,havoysund,75,NO,1602430282,100,71.0,24.66,5.0,3.6
297,ballina,75,AU,1602430289,100,-28.87,153.57,16.11,1.0
174,rohnert park,1,US,1602430262,100,38.34,-122.7,12.22,2.1
373,yima,100,CN,1602430305,99,34.74,111.88,18.89,1.77
134,dikson,100,RU,1602430254,99,73.51,80.55,2.66,5.7
176,khrebtovaya,97,RU,1602430263,99,56.7,104.25,-4.55,2.8
237,leningradskiy,100,RU,1602430276,98,69.38,178.42,-1.09,1.98
70,khatanga,100,RU,1602430239,98,71.97,102.5,-5.43,5.9
330,novoagansk,100,RU,1602430296,97,61.94,76.66,0.2,3.03
460,kargasok,100,RU,1602430328,97,59.06,80.86,0.22,5.01
205,tazovskiy,100,RU,1602430269,97,67.47,78.7,0.23,7.78
360,fortuna,0,US,1602430303,97,40.6,-124.16,10.56,1.22
306,teguldet,99,RU,1602430291,97,57.31,88.17,-2.82,2.49
403,deputatskiy,98,RU,1602430312,97,69.3,139.9,-10.41,0.88
429,mendi,98,PG,1602430319,97,-6.18,143.65,10.75,1.35
335,yar-sale,100,RU,1602430298,96,66.83,70.83,5.05,6.34
98,pangody,99,RU,1602430245,96,65.85,74.49,2.01,6.19
48,norman wells,90,CA,1602430234,96,65.28,-126.83,0.0,3.56
454,karagaylinskiy,100,RU,1602430326,96,54.17,86.55,2.0,2.82
67,saskylakh,89,RU,1602430239,96,71.92,114.08,-9.02,3.06
466,verkhnevilyuysk,12,RU,1602429872,95,63.45,120.32,-5.38,1.19
